Title and Description,Description,Updated Date,Request Type,Publisher,Keywords,Current state,Alternative Title,Creator,Time Coverage,Spatial Coverage,Language,Subjects,Update Frequency,Related Documents Titles,Related Documents URLs,Usage Considerations,Contact,Contact Email,Contact Phone,Distribution Type,Distribution Titles,Distribution URLs,Format
Industry Activity Reports ,"The monthly Industry Activity Report provides the most current data available for Alberta's drilling activity.  Included in the report are data for new licenses, spuds, land sales, rig activity and well completions.","Thursday, May 23, 2013 - 01:39",Create,Energy,"drilling activity,licenses, spuds, land sales, rig activity, well completions",Dataset Management System: Saved (unsubmitted),Alberta Energy Industry Activity Reports,Energy,"Monday, January 1, 2007",,English,Business and Economic DevelopmentEnvironment and Natural Resources,Monthly,,,,Royalty information,response.energy@gov.ab.ca,,Link,Monthly Industry Activity reports,http://www.energy.alberta.ca/OurBusiness/1062.asp,XLSX
Petroleum and Natural Gas Public Offerings and sales results,Alberta leases petroleum and natural gas (P&NG) mineral rights to companies for exploration and development of resources. This is a schedule of the offerings (sales) and results following each sale. ,"Thursday, May 23, 2013 - 01:39",,Energy,"land, mineral rights, pertoleum, natural gas, natural, gas, exploration, development, resources, public, offerings, sales, public  offerings, energy",Dataset Management System: Published,P & NG sales,Energy,"Sunday, January 1, 1995",,English,Business and Economic DevelopmentEnvironment and Natural Resources,Every 2 weeks,,,,Tenure administration,response.energy@gov.ab.ca,,Link,Petroleum & Natural Gas Public Offerings,http://www.energy.alberta.ca/Tenure/1314.asp,XML
Oil Sands Public Offerings and Results ,Alberta leases Oil Sands mineral rights to companies for exploration and development of resources. This is a schedule of sales offerings and results. ,"Thursday, May 23, 2013 - 01:39",,Energy,"land, mineral rights, sales, sale, oil, sands, oil sands, public, offerings, results, mineral, exploration, development, resource",Dataset Management System: Published,Alberta Oil Sands sales,Energy,"Monday, January 1, 1996",,English,Business and Economic DevelopmentEnvironment and Natural Resources,Every 2 weeks,,,,Oil Sands administration,response.energy@gov.ab.ca,,Link,Oil Sands Public Offerings,http://www.energy.alberta.ca/OilSands/831.asp,XML
Agricultural Processing Industry Directory,"This directory provides a comprehensive database of agricultural processing companies and industry organizations in Alberta. It is maintained as a reference for use by the business community, government agencies and other interested parties. It...","Thursday, May 23, 2013 - 01:39",,Agriculture and Rural Development,"food, food industry, processing, agricultural industry, products, directory, agricultural, industry, products, brands",Dataset Management System: Published,,Agriculture and Rural Development,,Province of Alberta,English,Agriculture,Annually,,,,Joan Bates,joan.bates@gov.ab.ca,403-340-7625,ServiceServiceService,Agricultural Processing Industry DirectoryAgricultural Processing Industry DirectoryAgricultural Processing Industry Directory,http://www.agric.gov.ab.ca/data/listings/foodindustry?$format=jsonhttp://www.agric.gov.ab.ca/data/listings/foodindustry.csvhttp://www.agric.gov.ab.ca/data/listings/foodindustry,JSONCSVXML
"Licensed businesses, charities, and fundraisers","A listing of all businesses, charities and fundraisers that hold an active license to operate in the province of Alberta.","Thursday, May 23, 2013 - 01:39",,Service Alberta,"auctions, cemetery, collection agencies, direct marketing, employment agencies, home inspection, payday loans, prepaid contractors, home sales, time shares, travel clubs",Dataset Management System: Published,,Service Alberta,,Alberta,English,Business and Economic Development,Daily,,,"To get a list of all licensed businesses, fundraisers and charities, follow the link provided, and submit the form with the business name and municipality fields blank and the license type field as “all”. The resulting page will include a button to download the complete list in excel format.
To get a list of specific types of licensed businesses, select the business type from the drop down list in the License Type field and submit the form. The resulting page will include a button to download the complete list for that license type in an Excel format.
The business types included in this list are only those required to be licensed by the Consumer Services Branch of Service Alberta. Other business types may be licensed through other agencies or may not need licenses at all. 
Although a business may hold a license, the license is not an endorsement of the company, nor does it guarantee the quality of goods or services offered.
This license information only includes active licenses in Alberta. Businesses that are no longer licensed will not be present on this list.
If you are searching for a business that is active in Alberta but that does not appear to be currently licensed, please contact the Service Alberta Contact Centre at 1-877-427-4088 for confirmation.",Consumer Services Branch,service.alberta@gov.ab.ca,1-877-427-4088,Link,"Licensed businesses, charities, and fundraisers",http://www.servicealberta.gov.ab.ca/183.cfm,XLS
Grassland Vegetation Inventory (GVI) Polygons Sites View,The GVI is intended as an update to the Native Prairie Vegetation Inventory (NPVI) that was completed circa 1993.  The GVI product is a more comprehensive and detailed geospatial representation of land cover that is intended to meet a multitude of...,"Monday, May 27, 2013 - 12:19",Create,Environment and Sustainable Resource Development,"native, prairie, vegetation, inventory, geospatial, land, cover, planning, management, biophysical, ecological, soil, land use, agricultural, industrial, residential, development, polygons, landscape, GVI, grassland",Dataset Management System: Data Approver Review,,Environment and Sustainable Resource Development,"Tuesday, July 4, 2006 - Tuesday, September 22, 2009",,English,Environment and Natural Resources,Annually,,,"General Public:
This digital data is protected under copyright to the Government of Alberta with all rights reserved and is subject to the conditions outlined in the Resource Information Management Branch License Agreement for Digital Data.
Government of Alberta Ministries:
Government of Alberta Ministries and authorized agencies may conditionally use this data for internal business purposes which includes conditional sharing of the data with other third parties (i.e. contractors, stakeholders) if necessary for reasonable use of the data relating to the provision of services to the Crown as represented by each Ministry.","Data Management Section, Resource Information Management Branch, Corporate Services Division, Alberta Environment and Sustainable Resource Development, Government of Alberta",srd.gdametadata@gov.ab.ca,780-422-5117,Download,GrasslandVegetationInventoryIndex,https://extranet.gov.ab.ca/srd/geodiscover/srd_pub/biota/Vegetation/GrasslandVegetationInventoryIndex.zip,SHP
Physical Land Classification (PLC) Polygons of the Brazeau-Pembina Study Area ,Physical Land Classification (PLC) maps have been created largely during the 1980s and 1990s as part of a program to acquire background information for Integrated Resource Plans along the eastern slopes and across northern Alberta.  The data were...,"Monday, May 27, 2013 - 12:19",Create,Environment and Sustainable Resource Development,"Biota, physical, land, classification, maps, integrated, resource, gromorphic, topographic, system, georeferenced, rectified, cleaned, vectorized, merged, GIS, geologic, landform,material, expression, slope, texture, soil, drainage, brazeau, pembina",Dataset Management System: Data Approver Review,,Environment and Sustainable Resource Development,"Tuesday, January 1, 1980",,English,Environment and Natural Resources,Other,,,"General Public:
This digital data is protected under copyright to the Government of Alberta with all rights reserved and is subject to the conditions outlined in the Resource Information Management Branch License Agreement for Digital Data.
Government of Alberta Ministries:
Government of Alberta Ministries and authorized agencies may conditionally use this data for internal business purposes which includes conditional sharing of the data with other third parties (i.e. contractors, stakeholders) if necessary for reasonable use of the data relating to the provision of services to the Crown as represented by each Ministry.","Data Management Section, Resource Information Management Branch, Corporate Services Division, Alberta Environment and Sustainable Resource Development, Government of Alberta",srd.gdametadata@gov.ab.ca,780-422-5117,Download,PhysicalLandClassificationPolygonsOfTheBrazeauPembinaStudyArea,https://extranet.gov.ab.ca/srd/geodiscover/srd_pub/geoscientificInformation/Landform/PhysicalLandClassificationPolygonsOfTheBrazeauPembinaStudyAreaIndex.zip,SHP
Physical Land Classification (PLC) Polygons of the Coal Branch Study Area,Physical Land Classification (PLC) maps have been created largely during the 1980s and 1990s as part of a program to acquire background information for Integrated Resource Plans along the eastern slopes and across northern Alberta.  The data were...,"Thursday, May 23, 2013 - 01:40",Create,Environment and Sustainable Resource Development,"Biota, physical, land, classification, maps, integrated, resource, gromorphic, topographic, system, georeferenced, rectified, cleaned, vectorized, Biota, merged, GIS, geologic, landform,material, expression, slope, texture, soil, drainage, coal, branch",Dataset Management System: Data Approver Review,,Environment and Sustainable Resource Development,"Monday, December 31, 1979 - 17:00",,English,Environment and Natural Resources,Other,,,"General Public:
This digital data is protected under copyright to the Government of Alberta with all rights reserved and is subject to the conditions outlined in the Resource Information Management Branch License Agreement for Digital Data.
Government of Alberta Ministries:
Government of Alberta Ministries and authorized agencies may conditionally use this data for internal business purposes which includes conditional sharing of the data with other third parties (i.e. contractors, stakeholders) if necessary for reasonable use of the data relating to the provision of services to the Crown as represented by each Ministry.","Data Management Section, Resource Information Management Branch, Corporate Services Division, Alberta Environment and Sustainable Resource Development, Government of Alberta",srd.gdametadata@gov.ab.ca,780-422-5117,Download,PhysicalLandClassificationPolygonsOfTheCoalBranchStudyArea,https://extranet.gov.ab.ca/srd/geodiscover/srd_pub/geoscientificInformation/Landform/PhysicalLandClassificationPolygonsOfTheCoalBranchStudyAreaIndex.zip,SHP
Physical Land Classification (PLC) Polygons of the Chungo-Cline-Nordegg Study Area,Physical Land Classification (PLC) maps have been created largely during the 1980s and 1990s as part of a program to acquire background information for Integrated Resource Plans along the eastern slopes and across northern Alberta.  The data were...,"Thursday, May 23, 2013 - 01:40",Create,Environment and Sustainable Resource Development,"Biota, physical, land, classification, maps, integrated, resource, gromorphic, topographic, system, georeferenced, rectified, cleaned, vectorized, merged, GIS, geologic, landform,material, expression, slope, texture, soil, drainage, chungo, cline, nordegg",Dataset Management System: Data Approver Review,,Environment and Sustainable Resource Development,"Tuesday, January 1, 1980",,English,Environment and Natural Resources,Other,,,"General Public:
This digital data is protected under copyright to the Government of Alberta with all rights reserved and is subject to the conditions outlined in the Resource Information Management Branch License Agreement for Digital Data.
Government of Alberta Ministries:
Government of Alberta Ministries and authorized agencies may conditionally use this data for internal business purposes which includes conditional sharing of the data with other third parties (i.e. contractors, stakeholders) if necessary for reasonable use of the data relating to the provision of services to the Crown as represented by each Ministry.","Data Management Section, Resource Information Management Branch, Corporate Services Division, Alberta Environment and Sustainable Resource Development, Government of Alberta",srd.gdametadata@gov.ab.ca,780-422-5117,Download,PhysicalLandClassificationPolygonsOfTheChungoClineNordeggStudyArea,https://extranet.gov.ab.ca/srd/geodiscover/srd_pub/geoscientificInformation/Landform/PhysicalLandClassificationPolygonsOfTheChungoClineNordeggStudyAreaIndex.zip,SHP
Physical Land Classification (PLC) Polygons of the Cold Lake Study Area,Physical Land Classification (PLC) maps have been created largely during the 1980s and 1990s as part of a program to acquire background information for Integrated Resource Plans along the eastern slopes and across northern Alberta.  The data were...,"Thursday, May 23, 2013 - 01:40",Create,Environment and Sustainable Resource Development,"Biota, physical, land, classification, maps, integrated, resource, gromorphic, topographic, system, georeferenced, rectified, cleaned, vectorized, merged, GIS, geologic, landform,material, expression, slope, texture, soil, drainage, cold, lake",Dataset Management System: Data Approver Review,,Environment and Sustainable Resource Development,"Tuesday, January 1, 1980",,English,Environment and Natural Resources,Other,,,"General Public:
This digital data is protected under copyright to the Government of Alberta with all rights reserved and is subject to the conditions outlined in the Resource Information Management Branch License Agreement for Digital Data.
Government of Alberta Ministries:
Government of Alberta Ministries and authorized agencies may conditionally use this data for internal business purposes which includes conditional sharing of the data with other third parties (i.e. contractors, stakeholders) if necessary for reasonable use of the data relating to the provision of services to the Crown as represented by each Ministry.","Data Management Section, Resource Information Management Branch, Corporate Services Division, Alberta Environment and Sustainable Resource Development, Government of Alberta",srd.gdametadata@gov.ab.ca,780-422-5117,Download,PhysicalLandClassificationPolygonsOfTheColdLakeStudyArea,https://extranet.gov.ab.ca/srd/geodiscover/srd_pub/geoscientificInformation/Landform/PhysicalLandClassificationPolygonsOfTheColdLakeStudyAreaIndex.zip,SHP
Physical Land Classification (PLC) Polygons of the Deep Basin Study Area,Physical Land Classification (PLC) maps have been created largely during the 1980s and 1990s as part of a program to acquire background information for Integrated Resource Plans along the eastern slopes and across northern Alberta.  The data were...,"Thursday, May 23, 2013 - 01:40",Create,Environment and Sustainable Resource Development,"Biota, physical, land, classification, maps, integrated, resource, gromorphic, topographic, system, georeferenced, rectified, cleaned, vectorized, merged, GIS, geologic, landform,material, expression, slope, texture, soil, drainage, deep, basin",Dataset Management System: Data Approver Review,,Environment and Sustainable Resource Development,"Tuesday, January 1, 1980",,English,Environment and Natural Resources,Other,,,"General Public:
This digital data is protected under copyright to the Government of Alberta with all rights reserved and is subject to the conditions outlined in the Resource Information Management Branch License Agreement for Digital Data.
Government of Alberta Ministries:
Government of Alberta Ministries and authorized agencies may conditionally use this data for internal business purposes which includes conditional sharing of the data with other third parties (i.e. contractors, stakeholders) if necessary for reasonable use of the data relating to the provision of services to the Crown as represented by each Ministry.","Data Management Section, Resource Information Management Branch, Corporate Services Division, Alberta Environment and Sustainable Resource Development, Government of Alberta",srd.gdametadata@gov.ab.ca,780-422-5117,Download,PhysicalLandClassificationPolygonsOfTheDeepBasinStudyArea,https://extranet.gov.ab.ca/srd/geodiscover/srd_pub/geoscientificInformation/Landform/PhysicalLandClassificationPolygonsOfTheDeepBasinStudyAreaIndex.zip,SHP
Physical Land Classification (PLC) Polygons of the Ghost River Study Area,Physical Land Classification (PLC) maps have been created largely during the 1980s and 1990s as part of a program to acquire background information for Integrated Resource Plans along the eastern slopes and across northern Alberta.  The data were...,"Thursday, May 23, 2013 - 01:40",Create,Environment and Sustainable Resource Development,"Biota, physical, land, classification, maps, integrated, resource, gromorphic, topographic, system, georeferenced, rectified, cleaned, vectorized, merged, GIS, geologic, landform,material, expression, slope, texture, soil, drainage, ghost, river",Dataset Management System: Data Approver Review,,Environment and Sustainable Resource Development,"Tuesday, January 1, 1980",,English,Environment and Natural Resources,Other,,,"General Public:
This digital data is protected under copyright to the Government of Alberta with all rights reserved and is subject to the conditions outlined in the Resource Information Management Branch License Agreement for Digital Data.
Government of Alberta Ministries:
Government of Alberta Ministries and authorized agencies may conditionally use this data for internal business purposes which includes conditional sharing of the data with other third parties (i.e. contractors, stakeholders) if necessary for reasonable use of the data relating to the provision of services to the Crown as represented by each Ministry.","Data Management Section, Resource Information Management Branch, Corporate Services Division, Alberta Environment and Sustainable Resource Development, Government of Alberta",srd.gdametadata@gov.ab.ca,780-422-5117,Download,PhysicalLandClassificationPolygonsOfTheGhostRiverStudyArea,https://extranet.gov.ab.ca/srd/geodiscover/srd_pub/geoscientificInformation/Landform/PhysicalLandClassificationPolygonsOfTheGhostRiverStudyAreaIndex.zip,SHP
Physical Land Classification (PLC) Polygons of the Livingstone-Porcupine Study Area,Physical Land Classification (PLC) maps have been created largely during the 1980s and 1990s as part of a program to acquire background information for Integrated Resource Plans along the eastern slopes and across northern Alberta.  The data were...,"Thursday, May 23, 2013 - 01:40",Create,Environment and Sustainable Resource Development,"Biota, physical, land, classification, maps, integrated, resource, gromorphic, topographic, system, georeferenced, rectified, cleaned, vectorized, merged, GIS, geologic, landform,material, expression, slope, texture, soil, drainage, livingstone, porcupine",Dataset Management System: Data Approver Review,,Environment and Sustainable Resource Development,"Tuesday, January 1, 1980",,English,Environment and Natural Resources,Other,,,"General Public:
This digital data is protected under copyright to the Government of Alberta with all rights reserved and is subject to the conditions outlined in the Resource Information Management Branch License Agreement for Digital Data.
Government of Alberta Ministries:
Government of Alberta Ministries and authorized agencies may conditionally use this data for internal business purposes which includes conditional sharing of the data with other third parties (i.e. contractors, stakeholders) if necessary for reasonable use of the data relating to the provision of services to the Crown as represented by each Ministry.","Data Management Section, Resource Information Management Branch, Corporate Services Division, Alberta Environment and Sustainable Resource Development, Government of Alberta",srd.gdametadata@gov.ab.ca,780-422-5117,Download,PhysicalLandClassificationPolygonsOfTheLivingstonePorcupineStudyArea,https://extranet.gov.ab.ca/srd/geodiscover/srd_pub/geoscientificInformation/Landform/PhysicalLandClassificationPolygonsOfTheLivingstonePorcupineStudyAreaIndex.zip,SHP
Physical Land Classification (PLC) Polygons of the Notikewin South Study Area,Physical Land Classification (PLC) maps have been created largely during the 1980s and 1990s as part of a program to acquire background information for Integrated Resource Plans along the eastern slopes and across northern Alberta.  The data were...,"Thursday, May 23, 2013 - 01:40",Create,Environment and Sustainable Resource Development,"Biota, physical, land, classification, maps, integrated, resource, gromorphic, topographic, system, georeferenced, rectified, cleaned, vectorized, merged, GIS, geologic, landform,material, expression, slope, texture, soil, drainage, notikewin, south",Dataset Management System: Data Approver Review,,Environment and Sustainable Resource Development,"Tuesday, January 1, 1991",,English,Environment and Natural Resources,Other,,,"General Public:
This digital data is protected under copyright to the Government of Alberta with all rights reserved and is subject to the conditions outlined in the Resource Information Management Branch License Agreement for Digital Data.
Government of Alberta Ministries:
Government of Alberta Ministries and authorized agencies may conditionally use this data for internal business purposes which includes conditional sharing of the data with other third parties (i.e. contractors, stakeholders) if necessary for reasonable use of the data relating to the provision of services to the Crown as represented by each Ministry.","Data Management Section, Resource Information Management Branch, Corporate Services Division, Alberta Environment and Sustainable Resource Development, Government of Alberta",srd.gdametadata@gov.ab.ca,780-422-5117,Download,PhysicalLandClassificationPolygonsOfTheNotikewinSouthStudyArea,https://extranet.gov.ab.ca/srd/geodiscover/srd_pub/geoscientificInformation/Landform/PhysicalLandClassificationPolygonsOfTheNotikewinSouthStudyAreaIndex.zip,SHP
